row_id,customer_text,gold_intent,gold_escalate,predicted_intent,confidence,decision,predicted_escalate,draft_reply,best_evidence_score,error,majority_prediction,tfidf_prediction,agent_intent_correct,agent_escalation_correct
0,@119959 @115828 I preordered this game 14 months ago just to be sent it for the wrong console. FML... https://t.co/EMBHygMbOL,delivery_issue,False,delivery_issue,0.92,auto_handle,False,@119959 @115828 I'm sorry for the mix‑up! Please contact us so we can look into this and review options: https://t.co/hApLpMlfHN ^WT,1.0,,general_support,order_issue,True,True
1,@AmazonHelp 2ème colis qui devait arriver aujourd'hui et ne le sera pas...C'est quoi votre engagement Prime déjà?,delivery_issue,False,delivery_issue,0.9,auto_handle,False,@AmazonHelp Que dit le suivi de votre colis s'il vous plaît ?,1.0,,general_support,delivery_issue,True,True
2,@115821 are y’all ever gonna transfer my $50 gc on an account you closed without telling me...? jw,account_access,True,account_access,0.92,auto_handle,False,"I’m sorry you’re experiencing this. Since the account was closed, the $50 gift‑card balance is still tied to that account. Please contact Seller Support for assistance and to verify the next steps: https://t.co/98BqGFfh7R. They’ll be able to investigate the transfer of your gift‑card balance.",1.0,,general_support,general_support,True,False
3,@115821 dudes. You refunded me for the wrong item. I got my wine. Just not my #reesespeanutbuttercups the wine cost more! I only needed $4!,return_refund,True,return_refund,0.92,auto_handle,False,@115821 We’re sorry about the mix‑up. Please provide your details here: https://t.co/e1bGy9Xhvk so we can correct the refund.,1.0000001192092896,,general_support,return_refund,True,False
4,@AmazonHelp Fuck u then why the hell u r having @AmazonHelp Twitter handle,general_support,False,general_support,0.9,auto_handle,False,"I’m sorry you’re feeling frustrated. Our @AmazonHelp Twitter account is used for quick updates and general customer questions, while any order‑specific issues can be handled through the help center or directly in this conversation. If there’s a particular concern you’d like us to look into, just let us know and we’ll help right away.",0.9999998807907104,,general_support,general_support,True,True
5,@AmazonHelp I had a scheduled furniture assembly yesterday which never happened. Upon calling the customer care they could not help much apart.,order_issue,True,delivery_issue,0.9,auto_handle,False,@AmazonHelp Apologies for the delay. Please share your order details here: https://t.co/beaaDm0muc and we’ll investigate and get back to you with an update soon.,0.9999998807907104,,general_support,general_support,False,False
6,@115821 don’t tell me I got guaranteed delivery and then change the date the day I’m supposed to get everything 😤,delivery_issue,False,delivery_issue,0.92,auto_handle,False,@115821 I’m sorry for the frustration. Have you received an email about a delay? You can view the current status of your order here: https://t.co/PzILDPf4Bn,1.0,,general_support,delivery_issue,True,True
7,@AmazonHelp Amazon shipping.,delivery_issue,False,general_support,0.6,escalate,True,@123456 Thank you for reaching out about Amazon shipping. We’d be happy to look into options with you. Please contact us here: https://t.co/JzP7hlA23B so we can help!,1.0000001192092896,,general_support,general_support,False,False
8,@AmazonHelp just had chat with a representative and got assured delivery by 5 pm today. Lets see what happens....,delivery_issue,False,delivery_issue,0.92,auto_handle,False,@123456 Thanks. Do keep us posted.,1.0000001192092896,,general_support,delivery_issue,True,True
9,@AmazonHelp My lights all appear here but my Dots do not. Should this be where I select them to add? https://t.co/L7OX9LKLlD,product_issue,True,product_issue,0.85,auto_handle,False,Hello! We want to help! Contact us here so we can get your Smart Home set up: https://t.co/hApLpMlfHN,1.0000001192092896,,general_support,general_support,True,False
10,@AmazonHelp It was a prime delivery option so should have had it Monday! Still says it’s out for delivery! You’ve also lost another parcel as well 👍🏼,delivery_issue,True,delivery_issue,0.95,auto_handle,False,I’m sorry the Prime delivery hasn’t arrived yet and the other parcel is missing. Could you share the order numbers or the latest tracking details? You can also call us or use this link for help: https://t.co/JzP7hlA23B.,0.9999999403953552,,general_support,delivery_issue,True,False
11,@AmazonHelp A special amazon line will be contacting me after a 24 hour investigation.. 3 days ago,general_support,False,payment_billing,0.85,auto_handle,False,"It sounds like the investigation hasn’t finished yet. Have you checked your inbox—including the spam or junk folders—for any updates or follow‑up messages? If you can let me know what was promised during your last conversation, I can help you determine the next steps.",0.9999996423721312,,general_support,general_support,False,True
